Source,Target,Type,Tipos_interaccion
Morella pubescens,Piranga rubra,Undirected,eats
Cenchrus clandestinus,Mus musculus,Undirected,eats
Elanus leucurus,Mus musculus,Undirected,eats; preysOn
Bidens laevis,Podilymbus podiceps,Undirected,coOccursWith
Bidens laevis,Fulica americana columbiana,Undirected,eats
Morella pubescens,Turdus fuscater,Undirected,eats
Catharus ustulatus,Morella pubescens,Undirected,eats
Morella pubescens,Thraupis episcopus,Undirected,eats
Morella pubescens,Thraupis palmarum,Undirected,eats
Morella pubescens,Vireo flavoviridis,Undirected,eats
Cardellina canadensis,Morella pubescens,Undirected,eats
Morella pubescens,Tyrannus melancholicus,Undirected,eats
Morella pubescens,Spinus psaltria,Undirected,eats
Morella pubescens,Zenaida auriculata,Undirected,eats
Morella pubescens,Setophaga fusca,Undirected,eats
Icterus chrysater,Morella pubescens,Undirected,eats
Duranta mutisii,Turdus fuscater,Undirected,eats
Ganoderma applanatum,Schinus molle,Undirected,hasHost
Acacia dealbata,Ganoderma applanatum,Undirected,hasHost
Ganoderma applanatum,Prunus serotina,Undirected,hasHost
Catharus ustulatus,Schinus molle,Undirected,eats
Modiola caroliniana,Vanessa carye,Undirected,interactsWith
Catharus ustulatus,Prunus serotina,Undirected,eats
Bocconia frutescens,Catharus ustulatus,Undirected,eats
Catharus ustulatus,Citharexylum subflavescens,Undirected,eats
Catharus ustulatus,Oreopanax incisus,Undirected,eats
Prunus serotina,Vireo olivaceus,Undirected,eats
Bocconia frutescens,Vireo olivaceus,Undirected,eats
Vireo olivaceus,Zelus longipes,Undirected,preysOn
Solanum laxum,Vireo olivaceus,Undirected,eats
Ricinus communis,Vireo olivaceus,Undirected,eats; interactsWith
Cornu aspersum,Ricinus communis,Undirected,interactsWith
Ricinus communis,Tyrannus savana,Undirected,eats
Capsella bursa-pastoris,Columba livia domestica,Undirected,eats
Oreopanax incisus,Thraupis palmarum,Undirected,eats
Bocconia frutescens,Thraupis palmarum,Undirected,eats
Citharexylum subflavescens,Thraupis palmarum,Undirected,eats
Prunus serotina,Tyrannus tyrannus,Undirected,eats
Columba livia domestica,Prunus serotina,Undirected,eats
Harmonia axyridis,Prunus serotina,Undirected,interactsWith; pollinates
Catharus fuscescens,Prunus serotina,Undirected,eats
Piranga olivacea,Prunus serotina,Undirected,eats; visits
Prunus serotina,Turdus fuscater gigas,Undirected,eats
Bocconia frutescens,Spinus psaltria,Undirected,eats
Oreopanax incisus,Spinus psaltria,Undirected,eats
Citharexylum subflavescens,Spinus psaltria,Undirected,eats
Columba livia domestica,Typha latifolia,Undirected,eats
Acacia dealbata,Columba livia domestica,Undirected,eats
Columba livia domestica,Rupornis magnirostris,Undirected,preysOn
Fulica americana,Typha latifolia,Undirected,eats
Fulica americana,Podilymbus podiceps,Undirected,eats; interactsWith
Fulica americana,Spatula discors,Undirected,interactsWith
Fulica americana,Gallinula galeata,Undirected,interactsWith
Coprinellus disseminatus,Typha latifolia,Undirected,hasHost
Harmonia axyridis,Steatoda nobilis,Undirected,preysOn
Duranta mutisii,Harmonia axyridis,Undirected,interactsWith
Buteo platypterus,Coccyzus americanus,Undirected,eats
Buteo platypterus,Butorides virescens,Undirected,eats
Buteo platypterus,Catharus fuscescens,Undirected,eats
Dione glycera,Streptosolen jamesonii,Undirected,eats
Crocosmia × crocosmiiflora,Dione glycera,Undirected,eats; visitsFlowersOf
Dione glycera,Passiflora tarminiana,Undirected,coOccursWith; eats
Colibri coruscans,Streptosolen jamesonii,Undirected,eats; pollinates; visitsFlowersOf
